%eval_id interface log__t_efold_shallow log__t_efold_soil f_exfiltration_shallow PDD_melt_factor log__H0_pdm_shallow log__H0_pdm_soil f_tile_shallow log__tau_tile  neg_kge        
157      I1         1.151278613    1.614103081    0.8883672173   9.473516053    1.04091464     1.326682616    0.7225410865   0.3071229124   2.344566674    
158      I1         0.719191177    1.749257324    0.3792242899   9.409478913    3.445103885    1.548410723    0.4869352629   0.585057382    1.957092485    
159      I1         1.574434238    2.590534515    0.2583550677   7.989055411    1.136100637    2.047343214    0.6042885954   0.898962391    2.15077851     
160      I1         0.3107108767   1.124789684    0.7967770558   1.840146175    1.830520305    1.808751275    0.194245022    0.2732291485   2.41881631     
161      I1         1.428226823    1.648557062    0.226241653    8.284955499    1.27487813     1.113931002    0.1255816926   0.7402397688   2.131259311    
162      I1         0.3902345162   2.530528148    0.3290888779   2.507284945    1.739699897    1.237521101    0.8211326627   0.996796613    1.921226072    
163      I1         0.9241843732   2.607205399    0.4743634524   3.407560487    1.686690934    2.682725988    0.01048838538  0.3888925899   1.798654285    
164      I1         0.5744913194   2.644110444    0.1093445691   4.197736747    1.928845776    1.220901266    0.140321429    0.5320137505   2.0400104      
165      I1         0.5303073602   2.000874494    0.3828402982   6.414013601    2.613664428    1.13336776     0.07323541388  0.9924620615   2.024621471    
166      I1         1.507471669    1.40414358     0.9271647848   9.124406446    1.796412673    1.46499879     0.2281559853   1.012386376    1.922546071    
167      I1         0.6609580598   2.372407311    0.7635570378   2.852261451    2.844325473    1.477217221    0.1982212631   0.7331631901   2.12913038     
168      I1         0.9537959759   2.165513297    0.4957952261   6.382399742    3.395829612    1.075082031    0.6689851436   0.1829732988   2.000240699    
169      I1         1.811396034    1.051939886    0.2965311055   4.678081359    1.232927153    2.493736558    0.4311233017   0.4295911451   2.211977158    
170      I1         1.674256652    1.545416253    0.9440529674   4.73291236     2.25796207     1.758940072    0.3494752546   1.092943246    1.686219034    
